	item	gold	elman	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
23	iminutive	/1 i/0 m/1 i/0 n/0 u/1 t/1 i/0 v/0 e/0	/1 i/0 m/1 i/0 n/0 U/0 t/1 i/0 v/0 e/0	0	1	0	0	1
24	preposterous	p/1 r/0 e/0 p/1 o/0 s/0 t/1 e/0 r/0 o/1 u/0 s/0	p/1 r/0 e/0 p/1 o/0 s/0 T/0 e/0 r/0 o/1 u/0 s/0	0	0	1	0	1
25	molestation	m/1 o/0 l/1 e/0 s/0 t/1 a/0 t/1 i/0 o/0 n/0	m/1 o/0 l/1 e/0 s/0 t/1 a/0 T/0 i/0 o/0 n/0	0	0	1	0	1
26	atmospheric	a/1 t/0 m/1 o/0 s/0 p/1 h/0 e/0 r/0 i/1 c/0	a/1 t/0 m/1 o/0 s/0 P/0 h/0 e/0 r/0 i/1 C/1	0	0	1	0	1
27	eposition	r/1 e/0 p/1 o/0 s/1 i/0 t/1 i/0 o/0 n/0	/1 e/0 p/1 o/0 S/0 i/0 t/1 i/0 o/0 n/0	0	0	1	0	1
28	jordan	j/1 o/0 r/0 d/1 a/0 n/0	j/1 o/0 r/0 D/0 a/0 n/0	0	0	1	0	1
29	secretory	s/1 e/0 c/1 r/0 e/0 t/1 o/0 r/1 y/0	s/1 e/0 C/0 R/1 e/0 t/1 o/0 R/0 y/0	0	1	1	0	2
30	predecess	p/1 r/0 e/0 d/0 e/1 c/1 e/0 s/0 s/1 o/0 r/0	p/1 r/0 e/0 D/1 E/0 C/0 e/0 s/0 S/0 o/0 r/0	1	0	2	0	3
31	bourgeoisie	b/1 o/0 u/0 r/0 g/1 e/0 o/0 i/0 s/1 i/0 e/0	b/1 o/0 u/0 r/0 g/1 e/0 o/0 i/0 S/0 i/0 e/0	0	0	1	0	1
32	assistive	a/1 s/0 s/1 i/0 s/0 t/0 i/1 v/0 e/0	a/1 s/0 s/1 i/0 s/0 t/0 I/0 v/0 e/0	0	0	1	0	1
33	guanine	g/1 u/0 a/0 n/1 i/0 n/0 e/0	g/1 u/0 a/0 N/0 I/1 n/0 e/0	0	1	0	0	1
34	nuances	n/1 u/0 a/1 n/0 c/0 e/1 s/0	n/1 u/0 a/1 n/0 c/0 E/0 s/0	0	0	1	0	1
35	express	e/1 x/0 p/1 r/0 e/0 s/0 s/0 o/1	/1 x/0 p/1 r/0 e/0 s/0 s/0 O/0	0	0	1	0	1
36	clove	c/1 l/0 o/0 v/1 e/0 r/0	c/1 l/0 o/0 V/0 e/0 r/0	0	0	1	0	1
37	corolla	c/1 o/0 r/1 o/0 l/0 l/1 a/0	c/1 o/0 R/0 O/1 L/1 l/1 a/0	0	1	0	1	2
38	armament	a/1 r/0 m/1 a/0 m/1 e/0 n/0 t/0	a/1 r/0 m/1 a/0 M/0 e/0 n/0 T/1	0	0	1	0	1
39	gooseneck	g/1 o/0 o/0 s/0 e/0 n/1 e/0 c/0 k/0	g/1 o/0 o/0 s/0 e/0 N/0 e/0 c/0 k/0	0	0	1	0	1
40	photocopie	p/1 h/0 o/0 t/1 o/0 c/1 o/0 p/0 i/1 e/1 r/0	p/1 h/0 o/0 t/1 o/0 c/1 o/0 p/0 i/1 E/0 r/0	1	0	0	0	1
41	foste	f/1 o/0 s/0 t/1 e/0 r/0	f/1 o/0 s/0 T/0 e/0 r/0	0	0	1	0	1
42	arisen	a/1 r/1 i/0 s/0 e/1 n/0	a/1 R/0 i/0 s/0 E/0 n/0	1	0	1	0	2
43	thievery	t/1 h/0 i/0 e/0 v/0 e/1 r/0 y/1	t/1 h/0 i/0 E/1 v/0 E/0 r/0 y/1	0	0	1	0	1
44	spiral	s/1 p/0 i/0 r/0 a/1 l/0	s/1 p/0 i/0 r/0 A/0 l/0	0	0	1	0	1
45	lily	/1 i/0 l/0 y/1	l/1 i/0 l/0 Y/0	0	0	1	0	1
46	favorite	f/1 a/0 v/1 o/0 r/0 i/1 t/0 e/0	f/1 a/0 v/1 o/0 r/0 i/1 T/1 e/0	0	0	0	1	1
47	vengeance	v/1 e/0 n/0 g/0 e/0 a/1 n/0 c/0 e/0	v/1 e/0 n/0 G/1 e/0 A/0 n/0 c/0 e/0	0	0	1	0	1
48	lichen	/1 i/0 c/1 h/0 e/0 n/0	l/1 i/0 C/0 h/0 e/0 n/0	0	0	1	0	1
49	metastasis	m/1 e/0 t/1 a/0 s/0 t/1 a/0 s/1 i/0 s/0	m/1 e/0 T/0 A/1 S/1 T/0 a/0 S/0 i/0 s/0	1	1	1	0	3
50	foetus	f/1 o/0 e/0 t/1 u/0 s/0	f/1 o/0 e/0 T/0 U/1 s/0	0	1	0	0	1
51	pyrami	p/1 y/0 r/0 a/1 m/1 i/0 d/0	p/1 y/0 R/1 A/0 m/1 I/1 d/0	1	0	0	1	2
52	ivestiture	/1 i/0 v/1 e/0 s/0 t/0 i/1 t/1 u/0 r/0 e/0	/1 i/0 v/1 e/0 s/0 t/0 I/0 t/1 u/0 r/0 e/0	0	1	0	0	1
53	intertidal	i/1 n/0 t/1 e/0 r/0 t/1 i/0 d/0 a/1 l/0	i/1 n/0 t/1 e/0 r/0 t/1 i/0 d/0 A/0 l/0	0	0	1	0	1
54	livet	/1 l/0 i/1 v/1 e/0 t/0	o/1 l/0 I/0 V/0 e/0 t/0	0	0	2	0	2
55	cavernous	c/1 a/0 v/0 e/1 r/0 n/0 o/1 u/0 s/0	c/1 a/0 v/0 E/0 r/0 N/1 O/0 u/0 s/0	1	0	1	0	2
56	amorous	a/1 m/0 o/1 r/1 o/0 u/0 s/0	a/1 M/1 O/0 R/0 O/1 u/0 s/0	1	1	0	0	2
57	comedian	c/1 o/0 m/1 e/0 d/1 i/0 a/1 n/0	c/1 o/0 M/0 E/1 d/1 i/0 a/1 n/0	0	1	0	0	1
58	noma	n/1 o/0 m/1 a/0 d/0	n/1 o/0 M/0 a/0 d/0	0	0	1	0	1
59	jazzy	j/1 a/0 z/0 z/0 y/1	j/1 a/0 z/0 z/0 Y/0	0	0	1	0	1
60	injustice	i/1 n/0 j/1 u/0 s/0 t/1 i/0 c/0 e/0	i/1 n/0 j/1 u/0 s/0 T/0 i/0 c/0 e/0	0	0	1	0	1
61	gossame	g/1 o/0 s/0 s/1 a/0 m/1 e/0 r/0	g/1 o/0 s/0 S/0 a/0 M/0 e/0 r/0	0	0	2	0	2
62	ebt	/1 e/0 b/0 t/0 o/1 r/0	/1 e/0 B/1 t/0 O/0 r/0	0	0	1	0	1
63	igitizing	/1 i/0 g/0 i/1 t/1 i/0 z/0 i/1 n/0 g/0	/1 i/0 g/0 i/1 T/0 i/0 z/0 i/1 n/0 g/0	1	0	0	0	1
64	trumpete	t/1 r/0 u/0 m/0 p/1 e/0 t/0 e/1 r/0	t/1 r/0 u/0 m/0 P/0 e/0 t/0 E/0 r/0	0	0	2	0	2
65	peculia	p/1 e/0 c/1 u/0 l/1 i/0 a/0 r/0	p/1 e/0 C/0 u/0 l/1 i/0 a/0 r/0	0	0	1	0	1
66	caree	c/1 a/0 r/1 e/0 e/0 r/0	c/1 a/0 R/0 e/0 e/0 r/0	0	0	1	0	1
67	amages	/1 a/0 m/0 a/1 g/0 e/1 s/0	/1 a/0 m/0 a/1 g/0 E/0 s/0	0	0	1	0	1
68	aske	a/1 s/1 k/0 e/0 w/0	a/1 S/0 k/0 e/0 w/0	1	0	0	0	1
69	bigotry	b/1 i/0 g/0 o/1 t/0 r/1 y/0	b/1 i/0 g/0 o/1 t/0 R/0 y/0	0	0	1	0	1
70	scriptural	s/1 c/0 r/0 i/0 p/0 t/1 u/0 r/0 a/1 l/0	s/1 c/0 r/0 i/0 p/0 t/1 u/0 r/0 A/0 l/0	0	0	1	0	1
71	ei	w/1 e/0 i/0 r/0 d/0 o/1	w/1 e/0 i/0 r/0 d/0 O/0	0	0	1	0	1
72	affirmatively	a/1 f/0 f/1 i/0 r/0 m/0 a/1 t/1 i/0 v/0 e/0 l/1 y/0	a/1 f/0 f/1 i/0 r/0 M/1 A/0 t/1 i/0 v/0 e/0 l/1 y/0	1	0	0	0	1
73	sharia	s/1 h/0 a/0 r/1 i/0 a/1	s/1 h/0 a/0 R/0 i/0 a/1	0	0	1	0	1
74	coincide	c/1 o/0 i/1 n/0 c/1 i/0 d/0 e/1 d/0	c/1 o/0 I/0 n/0 c/1 i/0 d/0 E/0 d/0	0	0	2	0	2
75	monike	m/1 o/0 n/0 i/1 k/1 e/0 r/0	m/1 o/0 n/0 i/1 K/0 e/0 r/0	1	0	0	0	1
76	semis	s/1 e/0 m/1 i/0 s/0	s/1 e/0 M/0 I/1 S/1	0	1	0	1	2
77	equivalently	e/1 q/1 u/0 i/0 v/0 a/1 l/1 e/0 n/0 t/0 l/1 y/0	/1 q/1 u/0 i/0 V/1 A/0 l/1 e/0 n/0 t/0 l/1 y/0	1	0	0	0	1
78	multidimensional	m/1 u/0 l/0 t/1 i/0 d/1 i/0 m/1 e/0 n/0 s/1 i/0 o/0 n/0 a/1 l/0	m/1 u/0 l/0 t/1 i/0 d/1 i/0 m/1 e/0 n/0 S/0 i/0 o/0 n/0 a/1 l/0	0	0	1	0	1
79	hadith	h/1 a/0 d/1 i/0 t/0 h/0	h/1 a/0 D/0 I/1 T/1 h/0	0	1	0	1	2
80	polygonal	p/1 o/0 l/1 y/0 g/0 o/1 n/1 a/0 l/0	p/1 o/0 L/0 Y/1 G/1 O/0 N/0 a/0 l/0	1	1	1	0	3
81	cylinde	c/1 y/0 l/0 i/1 n/0 d/1 e/0 r/0	c/1 y/0 L/1 I/0 n/0 d/1 e/0 r/0	1	0	0	0	1
82	privacy	p/1 r/0 i/0 v/1 a/0 c/1 y/0	p/1 r/0 i/0 V/0 a/0 c/1 y/0	0	0	1	0	1
83	neithe	n/1 e/0 i/0 t/1 h/0 e/0 r/0	n/1 e/0 i/0 T/0 h/0 e/0 r/0	0	0	1	0	1
84	maverick	m/1 a/0 v/0 e/1 r/0 i/1 c/0 k/0	m/1 a/0 V/1 E/0 r/0 I/0 c/0 k/0	1	0	1	0	2
85	shaman	s/1 h/0 a/0 m/0 a/1 n/0	s/1 h/0 a/0 m/0 A/0 n/0	0	0	1	0	1
86	peculiarly	p/1 e/0 c/1 u/0 l/1 i/0 a/0 r/0 l/1 y/0	p/1 e/0 C/0 u/0 l/1 i/0 a/0 r/0 l/1 y/0	0	0	1	0	1
87	sauce	s/1 a/0 u/0 c/1 e/0 r/0	s/1 a/0 u/0 C/0 e/0 r/0	0	0	1	0	1
88	finitely	f/1 i/0 n/1 i/0 t/0 e/0 l/1 y/0	f/1 i/0 N/0 I/1 T/1 e/0 l/1 y/0	0	1	0	1	2
89	crescen	c/1 r/0 e/0 s/1 c/0 e/0 n/0 d/1 o/0	c/1 r/0 e/0 S/0 C/1 e/0 n/0 D/0 O/1	0	2	0	0	2
90	copilot	c/1 o/0 p/1 i/0 l/1 o/0 t/0	c/1 o/0 P/0 I/1 l/1 o/0 t/0	0	1	0	0	1
91	linac	/1 i/0 n/0 a/1 c/0	l/1 i/0 n/0 A/0 C/1	0	1	0	0	1
92	intercity	i/1 n/0 t/1 e/0 r/0 c/1 i/0 t/0 y/1	i/1 n/0 t/1 e/0 r/0 c/1 i/0 t/0 Y/0	0	0	1	0	1
93	elativistic	r/1 e/0 l/0 a/1 t/1 i/0 v/0 i/1 s/0 t/1 i/0 c/0	/1 e/0 L/1 A/0 T/0 i/0 v/0 i/1 s/0 T/0 i/0 c/0	1	0	2	0	3
94	fuselage	f/1 u/0 s/1 e/0 l/1 a/0 g/0 e/0	f/1 u/0 S/0 e/0 l/1 a/0 g/0 e/0	0	0	1	0	1
95	transitory	t/1 r/0 a/0 n/0 s/1 i/0 t/1 o/0 r/1 y/0	t/1 r/0 a/0 n/0 S/0 i/0 t/1 o/0 R/0 y/0	0	0	2	0	2
96	eportation	/1 e/0 p/1 o/0 r/0 t/1 a/0 t/1 i/0 o/0 n/0	/1 e/0 p/1 o/0 r/0 T/0 A/1 t/1 i/0 o/0 n/0	0	1	0	0	1
97	hirsute	h/1 i/0 r/0 s/1 u/0 t/0 e/0	h/1 i/0 r/0 S/0 u/0 t/0 e/0	0	0	1	0	1
98	y	/1 o/0 w/0 r/1 y/0	/1 o/0 w/0 R/0 y/0	0	0	1	0	1
99	brigadie	b/1 r/0 i/0 g/0 a/1 d/1 i/0 e/0 r/0	b/1 r/0 i/0 g/0 A/0 D/0 i/0 e/0 r/0	0	0	2	0	2
100	acidosis	a/1 c/0 i/1 d/1 o/0 s/1 i/0 s/0	a/1 c/0 I/0 D/0 o/0 s/1 i/0 s/0	0	0	2	0	2
101	gubernatorial	g/1 u/0 b/1 e/0 r/0 n/1 a/0 t/1 o/0 r/1 i/0 a/1 l/0	g/1 u/0 B/0 E/1 r/0 N/0 a/0 t/1 o/0 R/0 i/0 a/1 l/0	0	1	2	0	3
102	lullaby	/1 u/0 l/0 l/0 a/1 b/1 y/0	l/1 u/0 L/1 l/0 A/0 b/1 y/0	0	1	0	0	1
103	ephedrine	e/1 p/1 h/0 e/0 d/0 r/1 i/0 n/0 e/0	/1 p/1 h/0 e/0 D/1 r/1 i/0 n/0 e/0	0	0	0	1	1
104	militarism	m/1 i/0 l/0 i/1 t/1 a/0 r/1 i/0 s/0 m/0	m/1 i/0 l/0 I/0 t/1 a/0 R/0 I/1 s/0 m/0	0	2	0	0	2
105	attlesnake	r/1 a/0 t/0 t/1 l/0 e/0 s/1 n/0 a/0 k/0 e/0	/1 a/0 t/0 t/1 l/0 e/0 S/0 n/0 a/0 k/0 e/0	0	0	1	0	1
106	traversal	t/1 r/0 a/0 v/1 e/0 r/0 s/0 a/1 l/0	t/1 r/0 a/0 V/0 E/1 r/0 s/0 A/0 l/0	0	1	1	0	2
107	midget	m/1 i/0 d/0 g/0 e/1 t/0	m/1 i/0 d/0 g/0 E/0 t/0	0	0	1	0	1
108	product	p/1 r/0 o/0 d/0 u/1 c/0 t/0	p/1 r/0 o/0 D/1 U/0 c/0 T/1	1	0	0	1	2
109	analyze	a/1 n/0 a/1 l/1 y/0 z/0 e/1 r/0	a/1 n/0 a/1 l/1 y/0 z/0 E/0 r/0	0	0	1	0	1
110	ysphagia	/1 y/0 s/0 p/1 h/0 a/0 g/1 i/0 a/0	/1 y/0 s/0 p/1 h/0 a/0 G/0 I/1 a/0	0	1	0	0	1
111	savant	s/1 a/0 v/1 a/0 n/0 t/0	s/1 a/0 V/0 a/0 n/0 t/0	0	0	1	0	1
112	interrogatories	i/1 n/0 t/1 e/0 r/0 r/1 o/0 g/0 a/1 t/1 o/0 r/1 i/0 e/0 s/0	i/1 n/0 t/1 e/0 r/0 r/1 o/0 g/0 A/0 T/0 o/0 R/0 i/0 e/0 s/0	0	0	3	0	3
113	chevalie	c/1 h/0 e/0 v/0 a/1 l/1 i/0 e/0 r/0	c/1 h/0 e/0 v/0 a/1 L/0 I/1 e/0 r/0	1	0	0	0	1
114	inette	/1 i/0 n/1 e/0 t/0 t/0 e/0	/1 i/0 N/0 e/0 t/0 T/1 e/0	0	0	1	0	1
115	finesse	f/1 i/0 n/1 e/0 s/0 s/0 e/0	f/1 i/0 N/0 e/0 s/0 s/0 e/0	0	0	1	0	1
116	thanksgiving	t/1 h/0 a/0 n/0 k/0 s/0 g/1 i/0 v/0 i/1 n/0 g/0	t/1 h/0 a/0 n/0 k/0 s/0 G/0 i/0 v/0 i/1 n/0 g/0	0	0	1	0	1
117	nion	/1 n/0 i/1 o/0 n/0	o/1 n/0 I/0 O/1 n/0	0	1	0	0	1
118	ctrinal	/1 o/0 c/0 t/1 r/0 i/0 n/1 a/0 l/0	/1 o/0 c/0 t/1 r/0 i/0 N/0 a/0 l/0	0	0	1	0	1
119	adage	a/1 d/0 a/1 g/0 e/0	a/1 d/0 A/0 G/1 e/0	0	1	0	0	1
120	cement	c/1 e/0 m/1 e/0 n/0 t/0	c/1 e/0 M/0 E/1 n/0 T/1	0	1	0	1	2
121	metabolism	m/1 e/0 t/1 a/0 b/0 o/1 l/1 i/0 s/0 m/0	m/1 e/0 T/0 A/1 B/1 O/0 L/0 i/0 s/0 m/0	1	1	1	0	3
122	coincident	c/1 o/0 i/1 n/0 c/1 i/0 d/1 e/0 n/0 t/0	c/1 o/0 I/0 n/0 c/1 i/0 D/0 e/0 n/0 t/0	0	0	2	0	2
123	impala	i/1 m/0 p/1 a/0 l/0 a/1	i/1 m/0 p/1 a/0 l/0 A/0	0	0	1	0	1
124	peruse	p/1 e/0 r/1 u/0 s/0 e/0	p/1 e/0 R/0 u/0 s/0 e/0	0	0	1	0	1
125	flatiron	f/1 l/0 a/0 t/0 i/1 r/1 o/0 n/0	f/1 l/0 a/0 t/0 i/1 R/0 o/0 n/0	1	0	0	0	1
126	everyday	e/1 v/0 e/0 r/1 y/0 d/1 a/0 y/0	/1 V/1 e/0 r/1 y/0 D/0 a/0 y/0	0	0	1	0	1
127	stardust	s/1 t/0 a/0 r/0 d/1 u/0 s/0 t/0	s/1 t/0 a/0 r/0 D/0 u/0 s/0 T/1	0	0	1	0	1
128	preparatory	p/1 r/0 e/0 p/1 a/0 r/0 a/1 t/1 o/0 r/1 y/0	p/1 r/0 e/0 p/1 a/0 r/0 A/0 t/1 o/0 R/0 y/0	0	1	1	0	2
129	bonanza	b/1 o/0 n/1 a/0 n/0 z/1 a/0	b/1 o/0 N/0 a/0 n/0 z/1 a/0	0	0	1	0	1
130	macadamia	m/1 a/0 c/0 a/1 d/1 a/0 m/1 i/0 a/1	m/1 a/0 c/0 A/0 d/1 a/0 M/0 I/1 a/1	0	2	0	0	2
131	madu	m/1 a/0 d/1 u/0 r/1 o/0	m/1 a/0 D/0 U/1 R/0 O/1	1	1	0	0	2
132	sugary	s/1 u/0 g/0 a/1 r/0 y/1	s/1 u/0 g/0 a/1 r/0 Y/0	0	0	1	0	1
133	mythological	m/1 y/0 t/0 h/0 o/1 l/1 o/0 g/0 i/1 c/1 a/0 l/0	m/1 y/0 T/1 h/0 O/0 L/0 O/1 G/1 i/1 c/1 a/0 l/0	0	1	1	1	3
134	camellia	c/1 a/0 m/1 e/0 l/0 l/1 i/0 a/0	c/1 a/0 M/0 E/1 L/1 l/1 i/0 A/1	0	1	0	2	3
135	beyon	b/1 e/0 y/1 o/0 n/0 d/0	b/1 e/0 Y/0 O/1 n/0 D/1	0	1	0	1	2
136	penitentiary	p/1 e/0 n/0 i/1 t/1 e/0 n/0 t/1 i/0 a/0 r/1 y/0	p/1 e/0 n/0 i/1 t/1 e/0 N/1 T/0 i/0 a/0 R/0 Y/1	1	1	0	0	2
137	ligan	/1 i/0 g/0 a/1 n/0 d/0	l/1 i/0 g/0 A/0 n/0 D/1	0	0	1	0	1
138	premature	p/1 r/0 e/0 m/0 a/1 t/1 u/0 r/0 e/0	p/1 r/0 e/0 m/0 A/0 T/0 u/0 r/0 e/0	0	0	2	0	2
139	piecemeal	p/1 i/0 e/0 c/0 e/0 m/1 e/0 a/0 l/0	p/1 i/0 E/1 c/0 e/0 m/1 e/0 a/0 l/0	0	0	0	1	1
140	basil	b/1 a/0 s/0 i/1 l/0	b/1 a/0 s/0 I/0 l/0	0	0	1	0	1
141	coincidental	c/1 o/0 i/1 n/0 c/1 i/0 d/1 e/0 n/0 t/1 a/0 l/0	c/1 o/0 I/0 n/0 c/1 i/0 D/0 e/0 n/0 T/0 a/0 l/0	0	0	3	0	3
142	atelie	a/1 t/0 e/1 l/0 i/1 e/0 r/0	a/1 t/0 E/0 L/1 I/0 e/0 r/0	1	1	0	0	2
143	promissory	p/1 r/0 o/0 m/0 i/1 s/0 s/1 o/0 r/1 y/0	p/1 r/0 o/0 M/1 I/0 s/0 s/1 o/0 R/0 y/0	1	0	1	0	2
144	lanai	/1 a/0 n/1 a/0 i/1	l/1 a/0 N/0 a/0 I/0	0	0	2	0	2
145	girly	g/1 i/0 r/0 l/0 y/1	g/1 i/0 r/0 l/0 Y/0	0	0	1	0	1
146	promising	p/1 r/0 o/0 m/0 i/1 s/0 i/1 n/0 g/0	p/1 r/0 o/0 M/1 I/0 s/0 I/0 n/0 g/0	1	0	1	0	2
147	blasphemy	b/1 l/0 a/0 s/0 p/1 h/0 e/0 m/1 y/0	b/1 l/0 a/0 s/0 P/0 h/0 e/0 M/0 y/0	0	0	2	0	2
148	elastome	e/1 l/1 a/0 s/0 t/1 o/0 m/1 e/0 r/0	/1 l/1 a/0 s/0 t/1 o/0 M/0 e/0 r/0	0	0	1	0	1
149	cabriolet	c/1 a/0 b/0 r/1 i/0 o/1 l/1 e/0 t/0	c/1 a/0 b/0 R/0 i/0 o/1 L/0 e/0 t/0	1	0	1	0	2
150	curative	c/1 u/0 r/0 a/1 t/1 i/0 v/0 e/0	c/1 u/0 r/0 A/0 t/1 i/0 v/0 e/0	0	1	0	0	1
151	maranatha	m/1 a/0 r/0 a/1 n/1 a/0 t/0 h/0 a/1	m/1 a/0 r/0 A/0 N/0 a/0 T/1 h/0 A/0	0	0	3	0	3
152	juxtaposition	j/1 u/0 x/0 t/1 a/0 p/1 o/0 s/1 i/0 t/1 i/0 o/0 n/0	j/1 u/0 x/0 t/1 a/0 P/0 o/0 s/1 i/0 t/1 i/0 o/0 n/0	0	0	1	0	1
153	emuneration	r/1 e/0 m/1 u/0 n/1 e/0 r/0 a/1 t/1 i/0 o/0 n/0	/1 e/0 m/1 u/0 N/0 e/0 r/0 a/1 T/0 i/0 o/0 n/0	1	0	1	0	2
154	epos	e/1 p/0 o/1 s/0	/1 P/1 o/1 s/0	0	0	0	1	1
155	savi	s/1 a/0 v/0 i/1 o/0 r/0	s/1 a/0 v/0 i/1 O/1 r/0	0	0	0	1	1
156	bandwagon	b/1 a/0 n/0 d/0 w/1 a/0 g/0 o/1 n/0	b/1 a/0 n/0 d/0 w/1 a/0 g/0 O/0 n/0	0	0	1	0	1
157	variety	v/1 a/0 r/1 i/0 e/1 t/1 y/0	v/1 a/0 R/0 I/1 E/0 T/0 y/0	1	1	1	0	3
158	corticosteroi	c/1 o/0 r/0 t/1 i/0 c/1 o/0 s/1 t/0 e/0 r/0 o/1 i/0 d/0	c/1 o/0 r/0 t/1 i/0 c/1 o/0 S/0 t/0 e/0 r/0 o/1 i/0 d/0	0	0	1	0	1
159	alles	/1 a/0 l/0 l/0 e/0 s/0	/1 a/0 l/0 l/0 E/1 s/0	0	0	0	1	1
160	isle	i/1 s/0 l/0 e/0	i/1 S/1 L/1 e/0	0	0	0	2	2
161	biogeography	b/1 i/0 o/1 g/1 e/0 o/1 g/0 r/1 a/0 p/1 h/0 y/0	b/1 i/0 o/1 g/1 e/0 o/1 g/0 r/1 a/0 P/0 h/0 y/0	0	0	1	0	1
162	ave	a/1 v/1 e/0 r/0	a/1 v/1 e/0 R/1	0	0	0	1	1
163	budgete	b/1 u/0 d/0 g/0 e/1 t/0 e/1 d/0	b/1 u/0 d/0 g/0 E/0 t/0 E/0 d/0	0	0	2	0	2
164	abrupt	a/1 b/0 r/1 u/0 p/0 t/0	a/1 B/1 R/0 u/0 p/0 T/1	1	0	0	1	2
165	fedora	f/1 e/0 d/1 o/0 r/1 a/0	f/1 e/0 D/0 o/0 R/0 a/0	0	0	2	0	2
166	turtleneck	t/1 u/0 r/0 t/1 l/0 e/0 n/1 e/0 c/0 k/0	t/1 u/0 r/0 t/1 L/1 e/0 N/0 e/0 c/0 k/0	0	0	1	0	1
167	alert	a/1 l/1 e/0 r/0 t/0	a/1 L/0 e/0 r/0 T/1	1	0	0	0	1
168	pullove	p/1 u/0 l/0 l/0 o/1 v/1 e/0 r/0	p/1 u/0 l/0 L/1 O/0 V/0 e/0 r/0	1	0	1	0	2
