	word	gold	gru pred	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
21	vengeance	v/1 e/0 n/0 g/0 e/0 a/1 n/0 c/0 e/0	v/1 e/0 n/0 G/1 e/0 A/0 n/0 c/0 e/0	0	0	1	0	1
22	merging	m/1 e/0 r/0 g/0 i/1 n/0 g/0	m/1 e/0 r/0 G/1 I/0 n/0 g/0	1	0	0	0	1
23	verse	v/1 e/0 r/0 s/0 e/0	v/1 e/0 r/0 S/1 e/0	0	0	0	1	1
24	craziness	c/1 r/0 a/0 z/1 i/0 n/1 e/0 s/0 s/0	c/1 r/0 a/0 z/1 i/0 N/0 e/0 s/0 s/0	0	0	1	0	1
25	infiel	i/1 n/0 f/1 i/0 e/0 l/0 d/0	i/1 n/0 f/1 i/0 E/1 l/0 d/0	0	0	0	1	1
26	verifying	v/1 e/0 r/0 i/1 f/1 y/0 i/1 n/0 g/0	v/1 e/0 r/0 I/0 f/1 y/0 i/1 n/0 g/0	0	1	0	0	1
27	epos	e/1 p/0 o/1 s/0	/1 P/1 o/1 s/0	0	0	0	1	1
28	penitentiary	p/1 e/0 n/0 i/1 t/1 e/0 n/0 t/1 i/0 a/0 r/1 y/0	p/1 e/0 n/0 i/1 t/1 e/0 N/1 T/0 i/0 a/0 R/0 Y/1	1	1	0	0	2
29	lamp	/1 a/0 m/0 p/0	l/1 a/0 m/0 P/1	0	0	0	1	1
30	chic	c/1 h/0 i/0 c/1 o/0	c/1 h/0 i/0 C/0 o/0	0	0	1	0	1
31	cloude	c/1 l/0 o/0 u/0 d/0 e/1 d/0	c/1 l/0 o/0 u/0 d/0 E/0 d/0	0	0	1	0	1
32	paprika	p/1 a/0 p/0 r/1 i/0 k/1 a/0	p/1 a/0 P/1 R/0 i/0 k/1 a/0	1	0	0	0	1
33	acorn	a/1 c/1 o/0 r/0 n/0	a/1 C/0 o/0 r/0 n/0	1	0	0	0	1
34	sauce	s/1 a/0 u/0 c/1 e/0 r/0	s/1 a/0 u/0 C/0 e/0 r/0	0	0	1	0	1
35	lancet	/1 a/0 n/0 c/1 e/0 t/0	l/1 a/0 n/0 C/0 e/0 t/0	0	0	1	0	1
36	antistatic	a/1 n/0 t/1 i/0 s/1 t/0 a/0 t/0 i/1 c/0	a/1 n/0 t/1 i/0 s/1 t/0 a/0 T/1 I/0 c/0	1	0	0	0	1
37	gooseneck	g/1 o/0 o/0 s/0 e/0 n/1 e/0 c/0 k/0	g/1 o/0 o/0 s/0 e/0 N/0 e/0 c/0 k/0	0	0	1	0	1
38	synonym	s/1 y/0 n/0 o/1 n/1 y/0 m/0	s/1 y/0 n/0 o/1 N/0 y/0 M/1	1	0	0	0	1
39	unsaturate	u/1 n/0 s/1 a/0 t/0 u/1 r/1 a/0 t/0 e/1 d/0	u/1 n/0 s/1 a/0 t/0 u/1 r/1 a/0 t/0 E/0 d/0	0	0	1	0	1
40	nonsense	n/1 o/0 n/0 s/1 e/0 n/0 s/0 e/0	n/1 o/0 n/0 s/1 e/0 n/0 S/1 e/0	0	0	0	1	1
41	egulate	r/1 e/0 g/0 u/1 l/1 a/0 t/0 e/1 d/0	/1 e/0 G/1 u/1 l/1 a/0 t/0 e/1 d/0	0	0	0	1	1
42	ute	r/1 o/0 u/0 t/0 e/1 d/0	/1 o/0 u/0 t/0 E/0 d/0	0	0	1	0	1
43	socialization	s/1 o/0 c/1 i/0 a/0 l/0 i/1 z/1 a/0 t/1 i/0 o/0 n/0	s/1 o/0 c/1 i/0 a/0 l/0 i/1 Z/0 a/0 t/1 i/0 o/0 n/0	1	0	0	0	1
44	confederacy	c/1 o/0 n/0 f/1 e/0 d/0 e/1 r/0 a/1 c/1 y/0	c/1 o/0 n/0 f/1 e/0 d/0 e/1 r/0 a/1 C/0 y/0	1	0	0	0	1
45	eplete	/1 e/0 p/1 l/0 e/0 t/0 e/1 d/0	/1 e/0 p/1 l/0 e/0 t/0 E/0 d/0	0	0	1	0	1
46	stardust	s/1 t/0 a/0 r/0 d/1 u/0 s/0 t/0	s/1 t/0 a/0 r/0 D/0 u/0 s/0 T/1	0	0	1	0	1
47	browse	b/1 r/0 o/0 w/0 s/0 e/1 r/0	b/1 r/0 o/0 w/0 s/0 E/0 r/0	0	0	1	0	1
48	notwithstanding	n/1 o/0 t/0 w/1 i/0 t/0 h/0 s/1 t/0 a/0 n/0 d/0 i/1 n/0 g/0	n/1 o/0 T/1 w/1 i/0 t/0 h/0 S/0 t/0 a/0 n/0 d/0 i/1 n/0 g/0	0	0	1	0	1
49	ens	e/1 n/0 s/0	/1 n/0 S/1	0	0	0	1	1
50	solstice	s/1 o/0 l/0 s/1 t/0 i/0 c/0 e/0	s/1 o/0 l/0 S/0 t/0 i/0 c/0 e/0	0	0	1	0	1
51	aping	r/1 a/0 p/0 i/1 n/0 g/0	/1 a/0 p/0 I/0 n/0 g/0	0	0	1	0	1
52	inducing	i/1 n/0 d/1 u/0 c/0 i/1 n/0 g/0	i/1 n/0 d/1 u/0 c/0 I/0 n/0 g/0	0	0	1	0	1
53	statically	s/1 t/0 a/0 t/0 i/1 c/1 a/0 l/0 l/1 y/0	s/1 t/0 a/0 t/0 i/1 C/0 a/0 l/0 l/1 y/0	1	0	0	0	1
54	sorption	s/1 o/0 r/0 p/0 t/1 i/0 o/0 n/0	s/1 o/0 r/0 P/1 T/0 i/0 o/0 n/0	1	0	0	0	1
55	speedily	s/1 p/0 e/0 e/0 d/0 i/1 l/1 y/0	s/1 p/0 e/0 e/0 d/0 i/1 L/0 y/0	1	0	0	0	1
56	consummation	c/1 o/0 n/0 s/1 u/0 m/0 m/1 a/0 t/1 i/0 o/0 n/0	c/1 o/0 n/0 s/1 u/0 m/0 m/1 a/0 T/0 I/1 o/0 n/0	0	1	0	0	1
57	physical	p/1 h/0 y/0 s/0 i/1 c/1 a/0 l/0	p/1 h/0 y/0 s/0 I/0 c/1 a/0 l/0	0	1	0	0	1
58	sheila	s/1 h/0 e/0 i/0 l/1 a/0	s/1 h/0 e/0 i/0 L/0 a/0	0	0	1	0	1
59	epetition	r/1 e/0 p/0 e/1 t/1 i/0 t/1 i/0 o/0 n/0	/1 e/0 P/1 E/0 T/0 I/1 t/1 i/0 o/0 n/0	1	1	0	0	2
60	myron	m/1 y/0 r/1 o/0 n/0	m/1 y/0 R/0 o/0 n/0	0	0	1	0	1
61	amages	/1 a/0 m/0 a/1 g/0 e/1 s/0	/1 a/0 m/0 a/1 g/0 E/0 s/0	0	0	1	0	1
62	cunnilingus	c/1 u/0 n/0 n/1 i/0 l/1 i/0 n/0 g/1 u/0 s/0	c/1 u/0 n/0 n/1 i/0 L/0 I/1 n/0 G/0 u/0 s/0	0	1	1	0	2
63	amplify	a/1 m/0 p/1 l/0 i/0 f/1 y/0	a/1 M/1 p/1 l/0 i/0 f/1 y/0	0	0	0	1	1
64	pierce	p/1 i/0 e/0 r/0 c/0 e/0	p/1 i/0 E/1 r/0 c/0 e/0	0	0	0	1	1
65	calende	c/1 a/0 l/0 e/1 n/0 d/1 e/0 r/0	c/1 a/0 l/0 E/0 n/0 D/0 E/1 r/0	0	1	1	0	2
66	benchmark	b/1 e/0 n/0 c/0 h/0 m/1 a/0 r/0 k/0	b/1 e/0 n/0 C/1 h/0 m/1 a/0 r/0 k/0	0	0	0	1	1
67	filibuste	f/1 i/0 l/0 i/1 b/1 u/0 s/0 t/1 e/0 r/0	f/1 i/0 l/0 i/1 b/1 u/0 s/0 T/0 e/0 r/0	0	0	1	0	1
68	apa	a/1 p/1 a/0	a/1 P/0 a/0	1	0	0	0	1
69	bourgeoisie	b/1 o/0 u/0 r/0 g/1 e/0 o/0 i/0 s/1 i/0 e/0	b/1 o/0 u/0 r/0 g/1 e/0 o/0 i/0 S/0 i/0 e/0	0	0	1	0	1
70	cavernous	c/1 a/0 v/0 e/1 r/0 n/0 o/1 u/0 s/0	c/1 a/0 v/0 E/0 r/0 N/1 O/0 u/0 s/0	1	0	1	0	2
71	thanksgiving	t/1 h/0 a/0 n/0 k/0 s/0 g/1 i/0 v/0 i/1 n/0 g/0	t/1 h/0 a/0 n/0 k/0 s/0 G/0 i/0 v/0 i/1 n/0 g/0	0	0	1	0	1
72	phylogenetic	p/1 h/0 y/0 l/1 o/0 g/1 e/0 n/1 e/0 t/0 i/1 c/0	p/1 h/0 y/0 l/1 o/0 G/0 e/0 N/0 e/0 t/0 i/1 c/0	0	0	2	0	2
73	cornea	c/1 o/0 r/0 n/1 e/0 a/1	c/1 o/0 r/0 n/1 e/0 A/0	0	0	1	0	1
74	matte	m/1 a/0 t/0 t/1 e/0 d/0	m/1 a/0 T/1 t/1 e/0 d/0	0	0	0	1	1
75	chasm	c/1 h/0 a/0 s/0 m/0	c/1 h/0 a/0 s/0 M/1	0	0	0	1	1
76	cons	c/1 o/0 n/0 s/0	c/1 o/0 n/0 S/1	0	0	0	1	1
77	issociation	/1 i/0 s/0 s/1 o/0 c/1 i/0 a/1 t/1 i/0 o/0 n/0	/1 i/0 s/0 s/1 o/0 c/1 i/0 A/0 T/0 i/0 o/0 n/0	0	0	2	0	2
78	eckon	r/1 e/0 c/0 k/0 o/1 n/0	/1 e/0 C/1 k/0 o/1 n/0	0	0	0	1	1
79	storm	s/1 t/0 o/0 r/0 m/0	s/1 t/0 o/0 r/0 M/1	0	0	0	1	1
80	seafront	s/1 e/0 a/0 f/1 r/0 o/0 n/0 t/0	s/1 e/0 a/0 F/0 r/0 o/0 n/0 t/0	0	0	1	0	1
81	hyme	r/1 h/0 y/0 m/0 e/0	/1 h/0 y/0 M/1 E/1	0	0	0	2	2
82	progressive	p/1 r/0 o/0 g/1 r/0 e/0 s/0 s/1 i/0 v/0 e/0	p/1 r/0 o/0 g/1 r/0 e/0 s/0 S/0 i/0 v/0 e/0	0	0	1	0	1
83	tracheal	t/1 r/0 a/0 c/1 h/0 e/0 a/1 l/0	t/1 r/0 a/0 C/0 h/0 e/0 a/1 l/0	0	0	1	0	1
84	eadability	r/1 e/0 a/0 d/0 a/1 b/1 i/0 l/0 i/1 t/1 y/0	/1 e/0 A/1 d/0 a/1 b/1 i/0 l/0 i/1 t/1 y/0	0	0	0	1	1
85	negligent	n/1 e/0 g/0 l/1 i/0 g/1 e/0 n/0 t/0	n/1 e/0 G/1 l/1 i/0 G/0 e/0 n/0 t/0	0	0	1	0	1
86	cont	c/1 o/0 n/0 t/0 r/0	c/1 o/0 n/0 T/1 r/0	0	0	0	1	1
87	ctrinal	/1 o/0 c/0 t/1 r/0 i/0 n/1 a/0 l/0	/1 o/0 c/0 t/1 r/0 i/0 N/0 a/0 l/0	0	0	1	0	1
88	banyan	b/1 a/0 n/0 y/1 a/0 n/0	b/1 a/0 n/0 y/1 A/1 n/0	0	0	0	1	1
89	mobilisation	m/1 o/0 b/1 i/0 l/1 i/0 s/1 a/0 t/1 i/0 o/0 n/0	m/1 o/0 b/1 i/0 L/0 i/0 S/0 a/0 t/1 i/0 o/0 n/0	0	0	2	0	2
90	vela	v/1 e/0 l/1 a/0	v/1 e/0 L/0 A/1	0	1	0	0	1
91	bandits	b/1 a/0 n/0 d/1 i/0 t/0 s/0	b/1 a/0 n/0 D/0 I/1 T/1 s/0	0	1	0	1	2
92	shanti	s/1 h/0 a/0 n/0 t/1 i/0	s/1 h/0 a/0 n/0 T/0 i/0	0	0	1	0	1
93	clone	c/1 l/0 o/0 n/0 e/0	c/1 l/0 o/0 N/1 e/0	0	0	0	1	1
94	expanse	e/1 x/0 p/1 a/0 n/0 s/0 e/0	/1 x/0 p/1 a/0 n/0 S/1 e/0	0	0	0	1	1
95	en	/1 e/0 n/0	/1 e/0 N/1	0	0	0	1	1
96	funnie	f/1 u/0 n/0 n/1 i/0 e/1 r/0	f/1 u/0 n/0 n/1 i/0 E/0 r/0	0	0	1	0	1
97	novelty	n/1 o/0 v/0 e/1 l/0 t/1 y/0	n/1 o/0 V/1 e/1 l/0 T/0 y/0	0	0	1	0	1
98	gasm	/1 r/0 g/1 a/0 s/0 m/0	o/1 r/0 g/1 a/0 s/0 M/1	0	0	0	1	1
99	icebreake	i/1 c/0 e/0 b/1 r/0 e/0 a/0 k/0 e/1 r/0	i/1 C/1 e/0 b/1 r/0 e/0 A/1 k/0 e/1 r/0	0	0	0	2	2
100	phantom	p/1 h/0 a/0 n/0 t/1 o/0 m/0	p/1 h/0 a/0 n/0 t/1 o/0 M/1	0	0	0	1	1
101	exponent	e/1 x/0 p/1 o/0 n/1 e/0 n/0 t/0	/1 x/0 p/1 o/0 N/0 e/0 n/0 T/1	0	0	1	0	1
102	brigadie	b/1 r/0 i/0 g/0 a/1 d/1 i/0 e/0 r/0	b/1 r/0 i/0 g/0 A/0 D/0 i/0 e/0 r/0	0	0	2	0	2
103	ious	/1 d/1 i/0 o/1 u/0 s/0	o/1 D/0 i/0 o/1 u/0 s/0	1	0	0	0	1
104	gestalt	g/1 e/0 s/1 t/0 a/0 l/0 t/0	g/1 e/0 S/0 T/1 a/0 l/0 t/0	0	1	0	0	1
105	contente	c/1 o/0 n/0 t/1 e/0 n/0 t/0 e/1 d/0	c/1 o/0 n/0 t/1 e/0 n/0 T/1 E/0 d/0	1	0	0	0	1
106	integration	i/1 n/0 t/1 e/0 g/1 r/0 a/0 t/1 i/0 o/0 n/0	i/1 n/0 t/1 e/0 g/1 r/0 a/0 T/0 I/1 o/0 n/0	0	1	0	0	1
107	iscredit	/1 i/0 s/0 c/1 r/0 e/0 d/0 i/1 t/0	/1 i/0 s/0 c/1 r/0 e/0 d/0 i/1 T/1	0	0	0	1	1
108	incubate	i/1 n/0 c/1 u/0 b/1 a/0 t/0 e/1 d/0	i/1 n/0 c/1 u/0 b/1 a/0 t/0 E/0 d/0	0	0	1	0	1
109	painstakingly	p/1 a/0 i/0 n/0 s/0 t/1 a/0 k/0 i/1 n/0 g/0 l/1 y/0	p/1 a/0 i/0 n/0 s/0 T/0 a/0 k/0 i/1 n/0 g/0 l/1 y/0	0	0	1	0	1
110	engende	e/1 n/0 g/1 e/0 n/0 d/1 e/0 r/0	/1 n/0 g/1 e/0 n/0 D/0 E/1 r/0	0	1	0	0	1
111	paleontology	p/1 a/0 l/1 e/0 o/1 n/0 t/1 o/0 l/0 o/1 g/1 y/0	p/1 a/0 L/0 E/1 o/1 n/0 t/1 o/0 l/0 o/1 g/1 y/0	0	1	0	0	1
112	estoppel	e/1 s/0 t/1 o/0 p/0 p/1 e/0 l/0	/1 s/0 t/1 o/0 P/1 p/1 e/0 l/0	0	0	0	1	1
113	maintenance	m/1 a/0 i/0 n/0 t/1 e/0 n/1 a/0 n/0 c/0 e/0	m/1 a/0 i/0 n/0 t/1 e/0 N/0 a/0 n/0 c/0 e/0	0	0	1	0	1
114	shade	s/1 h/0 a/0 d/0 e/0	s/1 h/0 a/0 d/0 E/1	0	0	0	1	1
115	xidation	/1 x/0 i/1 d/1 a/0 t/1 i/0 o/0 n/0	o/1 x/0 i/1 d/1 a/0 T/0 i/0 o/0 n/0	0	0	1	0	1
116	issection	/1 i/0 s/0 s/1 e/0 c/0 t/1 i/0 o/0 n/0	/1 i/0 s/0 s/1 e/0 c/0 T/0 i/0 o/0 n/0	0	0	1	0	1
117	linac	/1 i/0 n/0 a/1 c/0	l/1 i/0 n/0 A/0 C/1	0	1	0	0	1
118	ant	a/1 n/0 t/0	a/1 n/0 T/1	0	0	0	1	1
119	china	c/1 h/0 i/0 n/1 a/0	c/1 h/0 i/0 N/0 A/1	0	1	0	0	1
120	serve	s/1 e/0 r/0 v/0 e/1 r/0	s/1 e/0 R/1 v/0 E/0 r/0	0	0	1	0	1
121	anticipating	a/1 n/0 t/1 i/0 c/0 i/1 p/1 a/0 t/0 i/1 n/0 g/0	a/1 n/0 t/1 i/0 c/0 i/1 p/1 a/0 t/0 I/0 n/0 g/0	0	0	1	0	1
122	ispersal	/1 i/0 s/0 p/1 e/0 r/0 s/1 a/0 l/0	/1 i/0 s/0 p/1 e/0 r/0 S/0 a/0 l/0	0	0	1	0	1
123	stationary	s/1 t/0 a/0 t/1 i/0 o/0 n/0 a/1 r/0 y/1	s/1 t/0 a/0 T/0 I/1 o/0 n/0 a/1 r/0 y/1	0	1	0	0	1
124	mount	m/1 o/0 u/0 n/0 t/0	m/1 o/0 u/0 n/0 T/1	0	0	0	1	1
125	bullish	b/1 u/0 l/0 l/0 i/1 s/0 h/0	b/1 u/0 l/0 L/1 I/0 s/0 h/0	1	0	0	0	1
126	ellipsis	e/1 l/0 l/1 i/0 p/0 s/1 i/0 s/0	/1 L/1 l/1 i/0 p/0 S/0 i/0 s/0	0	0	1	0	1
127	perturbative	p/1 e/0 r/0 t/1 u/0 r/0 b/1 a/0 t/1 i/0 v/0 e/0	p/1 e/0 r/0 t/1 u/0 r/0 b/1 a/0 T/0 i/0 v/0 e/0	0	0	1	0	1
128	artwork	a/1 r/0 t/0 w/1 o/0 r/0 k/0	a/1 r/0 T/1 w/1 o/0 r/0 k/0	0	0	0	1	1
129	mise	m/1 i/0 s/0 e/0	m/1 i/0 s/0 E/1	0	0	0	1	1
130	primavera	p/1 r/0 i/0 m/1 a/0 v/1 e/0 r/1 a/0	p/1 r/0 i/0 m/1 a/0 v/1 e/0 R/0 A/1	0	1	0	0	1
131	yogi	y/1 o/0 g/1 i/0	y/1 o/0 G/0 i/0	0	0	1	0	1
132	kaise	k/1 a/0 i/0 s/1 e/0 r/0	k/1 a/0 i/0 S/0 e/0 r/0	0	0	1	0	1
133	insecure	i/1 n/0 s/1 e/0 c/1 u/0 r/0 e/0	i/1 n/0 s/1 e/0 C/0 U/1 R/1 e/0	0	1	0	1	2
134	closest	c/1 l/0 o/0 s/0 e/1 s/0 t/0	c/1 l/0 o/0 s/0 E/0 s/0 t/0	0	0	1	0	1
135	niche	n/1 i/0 c/0 h/0 e/0	n/1 i/0 c/0 h/0 E/1	0	0	0	1	1
136	metastasis	m/1 e/0 t/1 a/0 s/0 t/1 a/0 s/1 i/0 s/0	m/1 e/0 T/0 A/1 S/1 T/0 a/0 S/0 i/0 s/0	1	1	1	0	3
137	agonizing	a/1 g/0 o/1 n/1 i/0 z/0 i/1 n/0 g/0	a/1 G/1 o/1 N/0 i/0 z/0 i/1 n/0 g/0	1	0	0	0	1
138	arching	a/1 r/0 c/0 h/0 i/1 n/0 g/0	a/1 r/0 C/1 h/0 I/0 n/0 g/0	0	0	1	0	1
139	est	r/1 e/0 s/0 t/0	/1 e/0 S/1 t/0	0	0	0	1	1
140	ynamism	/1 y/0 n/1 a/0 m/1 i/0 s/0 m/0	/1 y/0 n/1 a/0 M/0 I/1 s/0 m/0	0	1	0	0	1
141	nithine	/1 r/0 n/1 i/0 t/1 h/0 i/0 n/0 e/0	o/1 r/0 n/1 i/0 t/1 h/0 I/1 n/0 e/0	0	0	0	1	1
142	courageously	c/1 o/0 u/0 r/1 a/0 g/1 e/0 o/0 u/0 s/0 l/1 y/0	c/1 o/0 u/0 R/0 a/0 G/0 e/0 o/0 u/0 s/0 l/1 y/0	0	0	2	0	2
143	corticosteroi	c/1 o/0 r/0 t/1 i/0 c/1 o/0 s/1 t/0 e/0 r/0 o/1 i/0 d/0	c/1 o/0 r/0 t/1 i/0 c/1 o/0 S/0 t/0 e/0 r/0 o/1 i/0 d/0	0	0	1	0	1
144	stimulation	s/1 t/0 i/0 m/0 u/1 l/1 a/0 t/1 i/0 o/0 n/0	s/1 t/0 i/0 m/0 u/1 l/1 a/0 T/0 i/0 o/0 n/0	0	0	1	0	1
145	close	c/1 l/0 o/0 s/0 e/1 r/0	c/1 l/0 o/0 s/0 E/0 r/0	0	0	1	0	1
146	monumental	m/1 o/0 n/0 u/1 m/1 e/0 n/0 t/1 a/0 l/0	m/1 o/0 n/0 u/1 m/1 e/0 n/0 T/0 a/0 l/0	0	0	1	0	1
147	eclipse	e/1 c/1 l/0 i/0 p/0 s/0 e/0	/1 c/1 L/1 i/0 p/0 s/0 e/0	0	0	0	1	1
148	iabolical	/1 i/0 a/1 b/1 o/0 l/0 i/1 c/1 a/0 l/0	/1 i/0 a/1 b/1 o/0 l/0 I/0 C/0 a/0 l/0	0	0	2	0	2
149	basil	b/1 a/0 s/0 i/1 l/0	b/1 a/0 s/0 I/0 l/0	0	0	1	0	1
150	bullpen	b/1 u/0 l/0 l/0 p/1 e/0 n/0	b/1 u/0 l/0 L/1 p/1 e/0 n/0	0	0	0	1	1
151	silex	s/1 i/0 l/1 e/0 x/0	s/1 i/0 L/0 e/0 x/0	0	0	1	0	1
152	everyday	e/1 v/0 e/0 r/1 y/0 d/1 a/0 y/0	/1 V/1 e/0 r/1 y/0 D/0 a/0 y/0	0	0	1	0	1
153	ysphagia	/1 y/0 s/0 p/1 h/0 a/0 g/1 i/0 a/0	/1 y/0 s/0 p/1 h/0 a/0 G/0 I/1 a/0	0	1	0	0	1
154	haughty	h/1 a/0 u/0 g/0 h/0 t/1 y/0	h/1 a/0 u/0 g/0 h/0 T/0 y/0	0	0	1	0	1
155	potte	p/1 o/0 t/0 t/1 e/0 r/0	p/1 o/0 T/1 t/1 e/0 r/0	0	0	0	1	1
156	eternally	e/1 t/1 e/0 r/0 n/1 a/0 l/0 l/1 y/0	/1 T/0 e/0 r/0 n/1 a/0 l/0 L/0 y/0	1	0	1	0	2
157	substantiate	s/1 u/0 b/0 s/1 t/0 a/0 n/0 t/1 i/0 a/1 t/0 e/0	s/1 u/0 b/0 s/1 t/0 a/0 n/0 T/0 i/0 A/0 t/0 E/1	0	0	2	0	2
158	multilingual	m/1 u/0 l/0 t/1 i/0 l/1 i/0 n/0 g/1 u/0 a/0 l/0	m/1 u/0 l/0 t/1 i/0 l/1 i/0 n/0 G/0 u/0 a/0 l/0	0	0	1	0	1
159	fuselage	f/1 u/0 s/1 e/0 l/1 a/0 g/0 e/0	f/1 u/0 S/0 e/0 l/1 a/0 g/0 e/0	0	0	1	0	1
160	potty	p/1 o/0 t/0 t/1 y/0	p/1 o/0 T/1 t/1 y/0	0	0	0	1	1
161	nth	n/1 t/0 h/0	n/1 T/1 h/0	0	0	0	1	1
162	isthmus	i/1 s/0 t/0 h/0 m/1 u/0 s/0	i/1 S/1 T/1 h/0 m/1 u/0 s/0	0	0	0	2	2
163	buoyancy	b/1 u/0 o/0 y/0 a/1 n/0 c/1 y/0	b/1 u/0 o/0 y/0 a/1 n/0 C/0 y/0	0	0	1	0	1
164	aggie	a/1 g/0 g/1 i/0 e/0	a/1 G/1 g/1 i/0 e/0	0	0	0	1	1
165	coaste	c/1 o/0 a/0 s/0 t/0 e/1 r/0	c/1 o/0 a/0 s/0 t/0 E/0 r/0	0	0	1	0	1
166	termination	t/1 e/0 r/0 m/1 i/0 n/1 a/0 t/1 i/0 o/0 n/0	t/1 e/0 r/0 m/1 i/0 n/1 a/0 T/0 i/0 o/0 n/0	0	0	1	0	1
167	progressively	p/1 r/0 o/0 g/1 r/0 e/0 s/0 s/1 i/0 v/0 e/0 l/1 y/0	p/1 r/0 o/0 g/1 r/0 e/0 s/0 S/0 i/0 v/0 e/0 l/1 y/0	0	0	1	0	1
168	lira	/1 i/0 r/1 a/0	l/1 i/0 R/0 a/0	0	0	1	0	1
169	trumpete	t/1 r/0 u/0 m/0 p/1 e/0 t/0 e/1 r/0	t/1 r/0 u/0 m/0 P/0 e/0 t/0 E/0 r/0	0	0	2	0	2
170	ineffective	i/1 n/0 e/1 f/0 f/1 e/0 c/0 t/1 i/0 v/0 e/0	i/1 n/0 e/1 F/1 f/1 e/0 c/0 t/1 i/0 v/0 e/0	0	0	0	1	1
171	homemake	h/1 o/0 m/0 e/0 m/1 a/0 k/0 e/1 r/0	h/1 o/0 m/0 e/0 m/1 a/0 k/0 E/0 r/0	0	0	1	0	1
172	station	s/1 t/0 a/0 t/1 i/0 o/0 n/0	s/1 t/0 a/0 T/0 I/1 o/0 n/0	0	1	0	0	1
173	bollocks	b/1 o/0 l/0 l/1 o/0 c/0 k/0 s/0	b/1 o/0 l/0 l/1 o/0 C/1 k/0 s/0	0	0	0	1	1
174	misrepresentation	m/1 i/0 s/0 r/1 e/0 p/0 r/1 e/0 s/1 e/0 n/0 t/1 a/0 t/1 i/0 o/0 n/0	m/1 i/0 s/0 r/1 e/0 p/0 r/1 e/0 S/0 e/0 n/0 T/0 a/0 t/1 i/0 o/0 n/0	0	0	2	0	2
